2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
15,9,0.3809524,0.5714286,positive
0,0,1.0,1.0,positive
15,9,0.3809524,0.5714286,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
3,1,0.48,0.96,positive
8,5,0.5555556,0.6666667,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
27,12,0.08,0.16,positive
17,12,0.44444445,0.44444445,positive
25,10,0.08695652,0.26086956,positive
25,10,0.08695652,0.26086956,positive
25,10,0.08695652,0.26086956,positive
25,10,0.08695652,0.26086956,positive
25,10,0.08695652,0.26086956,positive
25,10,0.08695652,0.26086956,positive
25,10,0.08695652,0.26086956,positive
4,2,0.9,0.9,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
22,10,0.1,0.3,positive
22,10,0.1,0.3,positive
4,2,0.46153846,0.9230769,positive
0,0,1.0,1.0,positive
4,2,0.46153846,0.9230769,positive
0,0,1.0,1.0,positive
7,4,0.54545456,0.54545456,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
22,10,0.1,0.3,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
22,10,0.1,0.3,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
10,8,0.6,0.6,positive
0,0,1.0,1.0,positive
5,3,0.46153846,0.7692308,positive
0,1,0.95238096,0.95238096,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
5,2,0.8,0.8,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
3,1,0.5263158,0.94736844,positive
22,10,0.1,0.3,positive
22,10,0.1,0.3,positive
22,10,0.1,0.3,positive
15,9,0.3809524,0.5714286,positive
17,8,0.11764706,0.23529412,positive
3,1,0.5217391,0.95652175,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
15,9,0.3809524,0.5714286,positive
0,0,1.0,1.0,positive
12,5,0.5,0.7,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
7,4,0.54545456,0.54545456,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
12,7,0.33333334,0.5833333,positive
0,0,1.0,1.0,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
0,0,1.0,1.0,positive
0,1,0.55172414,0.9655172,positive
0,1,0.55172414,0.9655172,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
2,3,0.61538464,0.84615386,positive
5,2,0.8,0.8,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
27,12,0.08,0.16,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
12,5,0.5,0.7,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
28,13,0.14285715,0.35714287,positive
0,0,1.0,1.0,positive
28,13,0.14285715,0.35714287,positive
0,0,1.0,1.0,positive
5,3,0.7368421,0.7368421,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
7,5,0.44444445,0.8148148,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
